Organization,Account,Report_Year_End,Report_Month_End,Incentive,Have_Target,Scope3,Savings_Proj_10,Invest_10,Year_MWh,Year_Scope1,Year_Scope2,CDP_Report,Savings_Proj,Savings_Real,Invest,Intensity_FTE,Intensity_Rev
Fortune Fashions Industries,28600,2010,6,0,0,,74,11200,8421,3277,4251,2010,,,,,
Tower Labs,19271,2008,12,,,,,,4052,997,2387,2010,,,,,
Tower Labs,19271,2009,1,0,1,,2822,38000,3500,962,2022,2010,,,,,
Teachers Insurance and Annuity Association – College Retirement Equities Fund (TIAA-CREF),18371,2010,12,0,1,6210,63500,0,0,16842,686155,2010,,,,,
Public Service Enterprise Group Inc.,15271,2009,12,1,1,65224110,27500,125100000,69929,20165832,1029634,2010,,,,,
JPMorgan Chase & Co.,9871,2009,12,0,1,103815,0,0,2341632,107958,1269765,2010,,,,,
"Genworth Financial, Inc.",7271,2009,12,0,0,54881,0,0,29049,166,15534,2010,,,,,
"Avon Products, Inc.",1271,2009,12,1,1,17498,11000,5352300,251098,70735,107354,2010,,,,,
J.C. Penney Co Inc,22370,2009,12,0,1,139578,36288,10000000,1799907,78727,1095219,2010,,,,,
Idacorp Inc,8770,2009,12,0,1,,0,0,0,7003633,9736,2010,,,,,
Huntington Bancshares Incorporated,8670,2009,11,0,0,,0,0,0,0,0,2010,,,,,
Carnival Corporation & plc,2870,2009,12,1,0,43105,286103,21764500,53123,10264098,53123,2010,,,,,
Whirlpool Corporation,20669,2009,12,0,1,121360576,0,0,0,223199,596455,2010,,,,,
UAL Corporation,19569,2009,12,1,0,3827966,0,0,290244833,18917055,109387,2010,,,,,
Simon Property Group,17069,2009,12,1,1,11021,52746,0,1064515,23996,619749,2010,,,,,
ProLogis,15169,2009,12,1,1,2336,1746,0,9927,3839,6385,2010,,,,,
Eastman Chemical Company,5169,2009,7,1,1,,0,0,0,0,0,2010,,,,,
Pall Corporation,14268,2009,5,1,1,,17250,2770000,206930,40235,108320,2010,,,,,
"NASDAQ OMX Group, Inc.",12768,2010,4,0,0,,0,0,0,0,0,2010,,,,,
"Blue Coat Systems, Inc.",1868,2010,12,0,0,11150,719,6250,15262,28,7450,2010,,,,,
Applied Materials Inc.,868,2009,12,1,1,32000,14454,13220000,296000,25740,155000,2010,,,,,
Progressive Corporation,15167,2009,12,0,0,,5175,0,203627,41208,134150,2010,,,,,
"Kennedy Associates Real Estate Counsel, LP",10067,2009,12,0,0,659,0,0,702,89,352,2010,,,,,
"EOG Resources, Inc.",5767,2009,12,0,0,,0,0,0,222923,171882,2010,,,,,
Tower Labs,19271,2005,12,,,,,,6528,1628,3904,2010,,,,,
Edison International,5272,2008,12,0,0,,0,0,0,46,0,2010,,,,,
"NextEra Energy, Inc.",6672,2009,12,1,1,122255,18704153,0,259147,47078510,128994,2010,,,,,
"Ryder System, Inc.",16072,2009,12,0,0,,4196,19300000,159161,470481,91090,2010,,,,,
PG&E Corporation,14678,2008,12,1,1,47479428,701847,1311352539,142909,2117534,1437352,2010,,,,,
